commit,repo_name,message
17b451965c684c6cc2d90981bed3269f18226036,h2o/h2o,"squash-merge branch 'kazuho/refactor/simplify-ctor'
"
453dfa96e3d67b76ac0bdfdcbd540563fa134875,h2o/h2o,"move configurator of modules to lib/configurator/
"
f7f691394516115ba2933147ed37ba612c3292bb,h2o/h2o,"refactor mruby middleware
"
146e76b53c5a1059d4cd60ed9184e62a473e882b,h2o/h2o,"Merge pull request #364 from h2o/kazuho/wordpress-url-rewrite

Implement features to sufficient to support WordPress URL rewrites"
4bd102dc20898ffd817df0ed21dd874fb9f57484,h2o/h2o,"Merge branch 'kazuho/refactor/per-context-config' into kazuho/expr/revproxy
"
d0dafa03039c761bd2da4b04ef6dfebe89994aee,h2o/h2o,"Improvements to reported stats

- Add a structure to track internally generated errors
- Structure the stats a pluggable modules. New status reporting code can
  use the `h2o_config_register_status_handler` (for queries that need to
  access per thread data) or `h2o_config_register_simple_status_handler`
  (for queries that can be run in the request context) APIs in order to
  add new statuses
- requests statuses and error reporting is moved under
  `lib/handler/status/`
"
dc8dbeb06cdff4e560d4263ac7f887b32649108e,h2o/h2o,"Track stream errors

We introduce `h2o_stream_send_state` which tracks the state of the
stream: finalized, in progress, or error.
We make `h2o_ostream_pull_cb` return this type and `h2o_send` pass it as
an argument. This way protocol implementations can then chose the
appropriate behavior regarding the downstream response.
In particular, we address the case of H2 in `finalostream_send` by
sending `RST_STREAM` if the stream had an error.
"
9711289111cd529662b303ddb37e35a9c1180f04,h2o/h2o,"split proxy_should_drop flag into for-request and for-response flags
"
71c6957c8da5bd8bd5abbe285a67feea7f9fb89f,h2o/h2o,"refactor the handler interface and implement the file handler
"
eed177cdf9113f24a7d791bdaf7f2d3761667556,h2o/h2o,"more renames
"
6812d83301b652d3432775402a31089c093f4508,lxc/lxc,"cgfsng: enable ""force"" for ""cgroup-full""

This enables cgroup-full:{mixed,ro,rw}:force and reworks the mount logic.
When cgroup-full was specified we used to bind-mount the cgroups from the host.
That is pretty weird thing to do given that you can simply mount them directly
without going through bind-mounts.

Signed-off-by: Christian Brauner <48455ab3070520a2d174545c7239d6d0fabd9a83@ubuntu.com>
"
8aa4885c224acf396a9413a272b97928f7345ede,lxc/lxc,"configure.ac: Cleanup, comments, indent, ...

This commit doesn't do any functional change to configure.ac but does a fair
amount of cleaning up.

It re-orders the various blocks by type (options, checks, expands, ...).
It also consistently uses tabs for indents.

Signed-off-by: Stéphane Graber <089afc6d81f66f1168a9849e15660feae286e024@ubuntu.com>
Acked-by: Serge E. Hallyn <3df611b026e4639bee8aef7a4beb2e39fcebb313@ubuntu.com>
"
692ba18faeb83e1a92743c198484f18b4fc18bc5,lxc/lxc,"cgroup: re-introduce ns cgroup support

If a cgroup hierarchy has ns cgroup composed, then we need to treat
that differently:

1. The container init will have already been switched to a new cgroup
called after its pid.
2. We can't move the container init to new deeper cgroup directories.

So, if we detect an ns cgroup, don't bother trying to construct a new
name according to the pattern.  Just rename the current one to the
container name, and save that path for us to later enter and remove.

Note I'm not dealing with the subpaths so nested containers probably
won't work.  However as ns cgroup is very much legacy, that should be
ok.  Eventually we should be able to drop ns cgroup support altogether,
but not just yet.

Signed-off-by: Serge Hallyn <3df611b026e4639bee8aef7a4beb2e39fcebb313@ubuntu.com>
Acked-by: Stéphane Graber <089afc6d81f66f1168a9849e15660feae286e024@ubuntu.com>
"
592fd47a6245508b79fe6ac819fe6d3b2c1289be,lxc/lxc,"CVE-2015-1335: Protect container mounts against symlinks

When a container starts up, lxc sets up the container's inital fstree
by doing a bunch of mounting, guided by the container configuration
file.  The container config is owned by the admin or user on the host,
so we do not try to guard against bad entries.  However, since the
mount target is in the container, it's possible that the container admin
could divert the mount with symbolic links.  This could bypass proper
container startup (i.e. confinement of a root-owned container by the
restrictive apparmor policy, by diverting the required write to
/proc/self/attr/current), or bypass the (path-based) apparmor policy
by diverting, say, /proc to /mnt in the container.

To prevent this,

1. do not allow mounts to paths containing symbolic links

2. do not allow bind mounts from relative paths containing symbolic
links.

Details:

Define safe_mount which ensures that the container has not inserted any
symbolic links into any mount targets for mounts to be done during
container setup.

The host's mount path may contain symbolic links.  As it is under the
control of the administrator, that's ok.  So safe_mount begins the check
for symbolic links after the rootfs->mount, by opening that directory.

It opens each directory along the path using openat() relative to the
parent directory using O_NOFOLLOW.  When the target is reached, it
mounts onto /proc/self/fd/<targetfd>.

Use safe_mount() in mount_entry(), when mounting container proc,
and when needed.  In particular, safe_mount() need not be used in
any case where:

1. the mount is done in the container's namespace
2. the mount is for the container's rootfs
3. the mount is relative to a tmpfs or proc/sysfs which we have
   just safe_mount()ed ourselves

Since we were using proc/net as a temporary placeholder for /proc/sys/net
during container startup, and proc/net is a symbolic link, use proc/tty
instead.

Update the lxc.container.conf manpage with details about the new
restrictions.

Finally, add a testcase to test some symbolic link possibilities.

Reported-by: Roman Fiedler
Signed-off-by: Serge Hallyn <3df611b026e4639bee8aef7a4beb2e39fcebb313@ubuntu.com>
Acked-by: Stéphane Graber <089afc6d81f66f1168a9849e15660feae286e024@ubuntu.com>
"
c43e9ced757428a3d578271decedc60aeab22e42,lxc/lxc,"Merge pull request #2527 from brauner/2018-08-15/file_lock_fixes

lxccontainer: improve file locking"
70e1f27e0bc2fd15e6a702a4b75e92b0a82e0857,lxc/lxc,"Merge pull request #1851 from brauner/2017-10-10/setsid_for_mini_init

init: rework dumb init"
ab2d32f88ce27337a1b429e32058f0948cb72bf0,lxc/lxc,"Replace create/destroy by a script

The simplification of the container configuration makes
pointless to have so much complexity in the container creation.
Let's remove that and replace by some scripts.

Signed-off-by: Daniel Lezcano <3211518dd4d87cb3f7ee12cb52e14b7fb2bc0446@fr.ibm.com>
"
ab1bf971d2db43777cbf3892fb887bf71ce7d155,lxc/lxc,"Create log file in lxcpath for non-system containers

On Fri, 26 Apr 2013 10:18:12 -0500
Serge Hallyn <3df611b026e4639bee8aef7a4beb2e39fcebb313@ubuntu.com> wrote:

> Quoting Dwight Engen (1793d65cf7b9eefb2bb8f5bee9a4b8ba782c26da@oracle.com):
> > On Fri, 26 Apr 2013 09:37:49 -0500
> > Serge Hallyn <3df611b026e4639bee8aef7a4beb2e39fcebb313@ubuntu.com> wrote:
> >
> > > Quoting Dwight Engen (1793d65cf7b9eefb2bb8f5bee9a4b8ba782c26da@oracle.com):
> > > > Using lxc configured with --enable-configpath-log, and
> > > > specifying a path to the lxc commands with -P, the log file
> > > > path is generated with a basename of LOGPATH instead of the
> > > > lxcpath. This means for example if you do
> > > >
> > > > lxc-start -P /tmp/containers -n test01 -l INFO
> > > >
> > > > your log file will be
> > > >
> > > > /var/lib/lxc/test01/test01.log
> > > >
> > > > I was expecting the log to be /tmp/containers/test01/test01.log.
> > > > This is particularly confusing if you also have test01 on the
> > > > regular lxcpath. The patch below changes the log file path to be
> > > > based on lxcpath rather than LOGPATH when lxc is configured with
> > > > --enable-configpath-log.
> > > >
> > > > I think that even in the normal non --enable-configpath-log case
> > > > we should consider using lxcpath as the base and not having
> > > > LOGPATH at all, as attempting to create the log files
> > > > in /var/log is not going to work for regular users on their own
> > > > lxcpath. If we want that, I'll update the patch to do that as
> > > > well.
> > >
> > >
> > > Perhaps we should do:
> > >
> > > 	1. If lxcpath == default_lxc_path(), then first choice is
> > > 	   LOGPATH, second is lxcpath/container.log
> > > 	2. when opening, if first choice fails, use second choice
> > > 	   if there is any.
> > >
> > > That way 'system' containers will go to /var/log/lxc, as I think
> > > they should.  Custom-lxcpath containers should never go
> > > to /var/log/lxc, since their names could be dups of containers in
> > > default_lxc_path(). And if the system is a weird one where
> > > default_lxc_path is set up so that an unprivileged user can use
> > > it, then we should log into $lxcpath.
> >
> > That sounds good to me. So these rules would apply in both the
> > regular and --enable-configpath-log cases.

I updated the patch to try to open the log file according to the
choices given above. Along the way I cleaned up log.c a bit, making
some things static, grouping external interfaces together, etc...
Hopefully that doesn't add too much noise.

> > > (Note this patch will trivially conflict with my new lxc_clone.c
> > > causing it to fail to build - unfortunate result of timing)
> >
> > Yeah unfortunately this touches every lxc_log_init() caller. I can
> > work on the above logic and re-submit after your new lxc_clone
> > stuff goes in.
>
> No no, I'll just need to remember to update mine.  Don't hold up on
> mine, this is just the nature of such collaboration  :)
>
> > Did you have any thoughts on the XXX what to pass in for lxcpath in
> > lxc_init? Right now it just falls back to LOGPATH.
>
> No - that's a weird one, since lxc_init runs in the container.  If
> there were only system containers I'd say always use LOGPATH.
> However there are people (apparently :) who use container sharing the
> host's rootfs...
>
> lxc-execute does know the lxcpath.  Perhaps we can simply have
> src/lxc/execute.c:execute_start() look at handler->conf to see if a
> rootfs is set.  If rootfs is NOT set, then pass lxcpath along to
> lxc-init.  Then lxc-init can mostly do the same as the others?  (It
> doesn't use src/lxc/arguments.c, so you'd have to add lxcpath to
> options[] in lxc-init.c)

So I did this, only to realize that lxc-init is passing ""none"" for the
file anyway, so it currently doesn't intend to log. This makes me
think that passing NULL for lxcpath is the right thing to do in
this patch. If you want me to make it so lxc-init can log, I can do
that but I think it should be in a different change :)

--

Signed-off-by: Dwight Engen <1793d65cf7b9eefb2bb8f5bee9a4b8ba782c26da@oracle.com>
Signed-off-by: Serge Hallyn <3df611b026e4639bee8aef7a4beb2e39fcebb313@ubuntu.com>
"
1d23c3c6050875c32a32b889cf115e38f37d23ba,ACP3/cms,"closes #54
- Moved the password form fields from the users account profile action to the user account settings action
"
4d369063d7f6673c976256a0b36679f4ca6dfa81,ACP3/cms,"- major refactoring of the class dependencies
- removed the version number from the system settings and made it a constant inside the the application bootstrapping class
- outsourced the cache setting (just the cache_driver for now) into a separate yml file
- added a proper 500 error page to the installer if something seriously fails during the installation process
  -> the exception in getting logged into the file ""installer-critical.log"" 
- fixed the installer 404 error page if a controller action can't be found"
366ab8c870b01fd4a1b41fdfc4e73359619bdf2d,xjdr/xio,"gradle and circleci

using gradle cache for alpn-boot jar

cleanup ci configs

increasing timeout for ci

gradle submodule projects
"
298afac0e0cb5fa4eb952de4dbcdb3a3b527b9e2,Jguer/yay,"Merge pull request #567 from Morganamilo/refactor-install

Refactor install"
6f95c587b670b5419435478272fb2c5709cfa3dd,cylc/cylc,more main prog cleanup
a4dffd5fee3641a76d5ddc59b96f62381c8c810c,cylc/cylc,"Merge pull request #999 from benfitzpatrick/119.initial_cycle_time_to_point

#119: rename cycle time to cycle point"
bd675f027e978e23c55ce85edafe5263a36fc409,cylc/cylc,"Async tasks reimplemented.
"
164e946950e5c9b038700565b34c513be797aab7,cylc/cylc,"More command and GUI help improvements.
"
31e50118e2f46b9f156160940df83f2c79724bd5,cylc/cylc,"A few corrections to the previous TaskID conversion commit.

All use of the old taskid class (and module) is now gone; but there's
more to do yet to make full use of the new TaskID class.
"
4fecfd3651d204d0708800bcbbe241e83feac20c,cylc/cylc,"Tidied task proxy and job submit code a bit.

Includes getting rid of some unnecessary passing of global config items
from the task class into job_submit, and cleaner use of task owner and
host variables.
"
a1df321c0a4c246855dd4db8f84a7e96446b7f45,cylc/cylc,"Merge branch 'master' into new-task-cleanup-algorithm
"
